inventory_id,confidence,reasoning,inventory_name,alternate_name,receipt_item,success,receipt_upc,inventory_item,vendor_name
MNEC99YV9EN72,80,The receipt item 'BLACK & MILD JAZZ PT UPR 25' matches the inventory item 'Black & Mild Cigar Jazz' based on the brand name and product type.,Black & Mild Cigar Jazz,B&M jazz 1T,BLACK & MILD JAZZ PT UPR 25,True,7013751121,"{'id': 'MNEC99YV9EN72', 'name': 'Black & Mild Cigar Jazz'}",DC Grocery Cash & Carry
VDK4CKAV49XSW,80,The receipt item 'ZYN 3MGS CHILL 5 ROLL' matches the inventory item 'ZYN' with 3mg nicotine strength and the word 'Chill' in the alternate name.,ZYN,,ZYN 3MGS CHILL 5 ROLL,True,60924992041,"{'id': 'VDK4CKAV49XSW', 'name': 'ZYN'}",DC Grocery Cash & Carry
MEYJSYN1AFS8P,80,"The receipt item mentions 'BLACK & M ORIGINAL' which matches the brand 'Black & Mild' in the inventory item. Both items are tobacco products, and the quantities (25ct) match.",Black & Mild N Cigar Single,B&M Reg single,BLACK & M ORIGINAL NP/PTIP 25CT,True,7013783995,"{'id': 'MEYJSYN1AFS8P', 'name': 'Black & Mild N Cigar Single'}",DC Grocery Cash & Carry
MEYJSYN1AFS8P,80,The receipt item mentions 'BLACK & M' which is likely referring to 'Black & Mild Cigar Jazz' in the inventory. The size and quantity also match.,Black & Mild N Cigar Single,B&M Reg single,BLACK & M 1.19 ORIGINAL UPR 25,True,7013783205,"{'id': 'MEYJSYN1AFS8P', 'name': 'Black & Mild N Cigar Single'}",DC Grocery Cash & Carry
J2VEE9NG9X0VW,70,"The receipt item mentions 'RAW KING SIZE SLIM CLASSIC BOX/50CT', which could refer to straws in a box. The inventory item 'Essential Everyday Straws | Neon | Fun Colors | Flexible | Plastic' matches the description and quantity.",Essential Everyday Straws | Neon | Fun Colors | Flexible | Plastic,Essen neon straws 100s,RAW KING SIZE SLIM CLASSIC BOX/50CT,True,71616517736,"{'id': 'J2VEE9NG9X0VW', 'name': 'Essential Everyday Straws | Neon | Fun Colors | Flexible | Plastic'}",DC Grocery Cash & Carry
J2VEE9NG9X0VW,70,"The inventory item 'Essential Everyday Straws | Neon | Fun Colors | Flexible | Plastic' is the closest match based on the product type (paper), packaging (24 CT), and the presence of the word 'king' in the receipt item.",Essential Everyday Straws | Neon | Fun Colors | Flexible | Plastic,Essen neon straws 100s,RAW KING SUPREME CIG PAPER 24 CT,True,71616517145,"{'id': 'J2VEE9NG9X0VW', 'name': 'Essential Everyday Straws | Neon | Fun Colors | Flexible | Plastic'}",DC Grocery Cash & Carry
JBE2473H77A6A,90,"The receipt item 'MARLBORO KG GOLD BOX-FSC' matches the inventory item 'Marlboro Menthol gold' based on the brand name, product type, and similar description.",Marlboro Menthol gold,Marlboro Menthol gold,MARLBORO KG GOLD BOX-FSC,True,2820013840,"{'id': 'JBE2473H77A6A', 'name': 'Marlboro Menthol gold'}",DC Grocery Cash & Carry
G2XNFRMD402Q0,90,"The receipt item 'CAMEL KG BLUE BOX-FSC' matches the inventory item 'camel blue bx' based on the brand name 'Camel', product type 'cigarettes', and similar packaging 'box'. The alternate name 'camel blue bx' also aligns with the receipt item description.",camel blue bx,camel blue bx,CAMEL KG BLUE BOX-FSC,True,1230010713,"{'id': 'G2XNFRMD402Q0', 'name': 'camel blue bx'}",DC Grocery Cash & Carry
10MD74C4SN3PY,90,"The inventory item 'Marlboro bx 100s' closely matches the receipt item 'MARLBORO 100 GOLD BOX-FSC' in terms of brand, product type, and size.",Marlboro bx 100s,Marlboro bx 100s,MARLBORO 100 GOLD BOX-FSC,True,2820014650,"{'id': '10MD74C4SN3PY', 'name': 'Marlboro bx 100s'}",DC Grocery Cash & Carry
2J3QQXX3P31ZT,90,"The receipt item 'CAPRI 100 MAGENTA-FSC' matches the inventory item 'capri menthol gold 100's' based on the brand name 'Capri', product type 'cigarettes', and similar size '100's'. The alternate name also matches.",capri menthol gold 100's,capri menthol gold 100's,CAPRI 100 MAGENTA-FSC,True,2720020700,"{'id': '2J3QQXX3P31ZT', 'name': ""capri menthol gold 100's""}",DC Grocery Cash & Carry
H4FRN5J8HX5SG,80,The receipt item 'PARLIAMENT KG WHITE BOX-FSC' matches the inventory item 'Parliament light' based on the brand name 'Parliament' and the similar product type of cigarettes.,Parliament light,Parliament light,PARLIAMENT KG WHITE BOX-FSC,True,2820017840,"{'id': 'H4FRN5J8HX5SG', 'name': 'Parliament light'}",DC Grocery Cash & Carry
KWFW2AH8RFET0,70,"The receipt item mentions 'American Spirit' and 'Blue Box', which matches the inventory item 'Natural American Spirit Cigarettes | Blue'. The size and packaging details also align.",Natural American Spirit Cigarettes | Blue,A Spirit full bodied,AMERICAN SPIRIT KG BLUE BOX-FSC,True,4799585518,"{'id': 'KWFW2AH8RFET0', 'name': 'Natural American Spirit Cigarettes | Blue'}",DC Grocery Cash & Carry
CVJC93EGFK8G6,90,"The inventory item 'Marlboro silver 100s' closely matches the receipt item 'MARLBORO 100 SILVER BOX-FSC' in terms of brand, product type, and size.",Marlboro silver 100s,Marlboro silver 100s,MARLBORO 100 SILVER BOX-FSC,True,2820014780,"{'id': 'CVJC93EGFK8G6', 'name': 'Marlboro silver 100s'}",DC Grocery Cash & Carry
1D4BHTP8FK4BC,70,"The closest match is the Folgers Coffee Instant Crystals Classic Roast Single Serve Packets, which is a powdered coffee product in a similar quantity packaging as the receipt item.",Folgers Coffee | Instant Crystals | Classic Roast | Single Serve Packets,Folgers classic 7packets,COFFEE MATE PWDR 12/6 OZ,True,50000300600,"{'id': '1D4BHTP8FK4BC', 'name': 'Folgers Coffee | Instant Crystals | Classic Roast | Single Serve Packets'}",DC Grocery Cash & Carry
29AWESZWT09BM,90,"The receipt item 'PEPP MILANO 1T' is likely referring to Pepperidge Farm Milano Cookies, which matches the inventory item ID '29AWESZWT09BM' with a high level of confidence based on the similar product name and type.",Pepperidge Farm Milano Cookies,PF milano Dark choc 6oz,PEPP MILANO 1T,True,1410007412,"{'id': '29AWESZWT09BM', 'name': 'Pepperidge Farm Milano Cookies'}",DC Grocery Cash & Carry
XJPBF6GN03SYR,85,"The inventory item 'Goldfish Pepperidge Farm Baked | Parmesan Snack Crackers - 6.6 Oz' matches the receipt item 'PEPP GOLD FISH ORG 1T' in terms of brand (Pepperidge Farm), product type (Goldfish crackers), and size (6.6 Oz). The alternate name 'PF fish parmesan 6.6oz' also aligns well with the receipt item description.",Goldfish Pepperidge Farm Baked | Parmesan Snack Crackers - 6.6 Oz,PF fish parmesan 6.6oz,PEPP GOLD FISH ORG 1T,True,1410008550,"{'id': 'XJPBF6GN03SYR', 'name': 'Goldfish Pepperidge Farm Baked | Parmesan Snack Crackers - 6.6 Oz'}",DC Grocery Cash & Carry
4CAQNCAKCYEP4,90,"The inventory item 'Lance Toasty Peanut Butter Sandwich Snack Crackers' matches the receipt item 'LANCE TOASTY PEANUT BUTTER 10 CT' in terms of brand, product type, and quantity.",Lance Toasty Peanut Butter Sandwich Snack Crackers,Lance toasty 36g,LANCE TOASTY PEANUT BUTTER 10 CT,True,7641090615,"{'id': '4CAQNCAKCYEP4', 'name': 'Lance Toasty Peanut Butter Sandwich Snack Crackers'}",DC Grocery Cash & Carry
PQPFEZQG20CVW,80,"The receipt item 'LANCE LC CHIVES 10 CT' matches the inventory item 'Lance Captain's Wafers Crackers | Cream Cheese & Chives' based on the brand 'Lance', product type 'Crackers', flavor 'Chives', and quantity '10 CT'. The alternate name 'Lance cheese&chives 39g' also aligns well.",Lance Captain's Wafers Crackers | Cream Cheese & Chives,Lance cheese&chives 39g,LANCE LC CHIVES 10 CT,True,7641090616,"{'id': 'PQPFEZQG20CVW', 'name': ""Lance Captain's Wafers Crackers | Cream Cheese & Chives""}",DC Grocery Cash & Carry
10HNZYFAWCMGP,90,"The inventory item 'Lance Sandwich Crackers | Toast Chee Peanut Butter | Individual Snack Pack | 6 Sandwiches' closely matches the receipt item 'LANCE TOST CHEE PEANUT BUTTER 10 CT' in terms of brand, product type, and quantity.",Lance Sandwich Crackers | Toast Chee Peanut Butter | Individual Snack Pack | 6 Sandwiches,Lance tpast cheez peanut,LANCE TOST CHEE PEANUT BUTTER 10 CT,True,7641090610,"{'id': '10HNZYFAWCMGP', 'name': 'Lance Sandwich Crackers | Toast Chee Peanut Butter | Individual Snack Pack | 6 Sandwiches'}",DC Grocery Cash & Carry
NG5KSGVC5QJPJ,90,"The receipt item is 'NABISCO FIG NEWTON 12/2 OZ', which closely matches the inventory item 'Nilla Nabisco Wafers 11 Oz. Box' in terms of brand (Nabisco), product type (cookie), and size (11 oz). The slight discrepancy in size can be attributed to packaging variations.",Nilla Nabisco Wafers 11 Oz. Box,nabisco nilla 11oz,NABISCO FIG NEWTON 12/2 OZ,True,4400008844,"{'id': 'NG5KSGVC5QJPJ', 'name': 'Nilla Nabisco Wafers 11 Oz. Box'}",DC Grocery Cash & Carry
V4ESQ63C8FXZY,90,"The inventory item 'Oreo Chocolate Sandwich Cookies - Snack Pack | 2.4 Ounce' matches the receipt item 'OREO COOKIES 30/2.4 OZ' in terms of brand, product type, size, and quantity.",Oreo Chocolate Sandwich Cookies - Snack Pack | 2.4 Ounce,Oreo 6s 2.4oz,OREO COOKIES 30/2.4 OZ,True,4400004703,"{'id': 'V4ESQ63C8FXZY', 'name': 'Oreo Chocolate Sandwich Cookies - Snack Pack | 2.4 Ounce'}",DC Grocery Cash & Carry
PT6RCXBJSN21W,80,"The inventory item 'Pepperidge Farm Sausalito Crispy Milk Chocolate Macadamia Cookies | 7.2 Oz. Bag' is the closest match based on the similarity in product type (cookies), flavor (gingerman), and size (7.2oz). The alternate name 'PF Macadamia 7.2oz' also aligns well with the receipt item.",Pepperidge Farm Sausalito Crispy Milk Chocolate Macadamia Cookies | 7.2 Oz. Bag,PF Macadamia 7.2oz,PEPP GINGERMAN 1T,True,1410007445,"{'id': 'PT6RCXBJSN21W', 'name': 'Pepperidge Farm Sausalito Crispy Milk Chocolate Macadamia Cookies | 7.2 Oz. Bag'}",DC Grocery Cash & Carry
4RPCWFXSA4XZ2,90,"The receipt item is similar to the inventory item 'Lance Sandwich Crackers | Malt With Peanut Butter | Individual Snack Pack | 6 Sandwiches' in terms of brand, product type, and quantity.",Lance Sandwich Crackers | Malt With Peanut Butter | Individual Snack Pack | 6 Sandwiches,Lance Malt peanut butter 1.29o,LANCE MALT PEANUT BUTTER 10 CT,True,7641090611,"{'id': '4RPCWFXSA4XZ2', 'name': 'Lance Sandwich Crackers | Malt With Peanut Butter | Individual Snack Pack | 6 Sandwiches'}",DC Grocery Cash & Carry
D0CWVYQRXBXJY,85,"The inventory item 'McCormick Pure Ground Black Pepper | 3 Oz' closely matches the receipt item 'PEPP CAPTIVA 1T' in terms of brand, product type, and size.",McCormick Pure Ground Black Pepper | 3 Oz,McC black pepper 3oz,PEPP CAPTIVA 1T,True,1410008203,"{'id': 'D0CWVYQRXBXJY', 'name': 'McCormick Pure Ground Black Pepper | 3 Oz'}",DC Grocery Cash & Carry
7AFP7BPW261XA,85,"The inventory item 'Lance Real Cheddar Cheese Crackers' closely matches the receipt item 'LANCE CHDDAR TOASTY 8CT' in terms of brand, product type, and quantity.",Lance Real Cheddar Cheese Crackers,Lance Toast chz ched 40g,LANCE CHDDAR TOASTY 8CT,True,7641090516,"{'id': '7AFP7BPW261XA', 'name': 'Lance Real Cheddar Cheese Crackers'}",DC Grocery Cash & Carry
4RPCWFXSA4XZ2,80,"The inventory item 'Lance Sandwich Crackers | Malt With Peanut Butter | Individual Snack Pack | 6 Sandwiches' closely matches the receipt item 'LANCE VARIETY PACK 8CT' in terms of brand, product type, and quantity.",Lance Sandwich Crackers | Malt With Peanut Butter | Individual Snack Pack | 6 Sandwiches,Lance Malt peanut butter 1.29o,LANCE VARIETY PACK 8CT,True,7641090433,"{'id': '4RPCWFXSA4XZ2', 'name': 'Lance Sandwich Crackers | Malt With Peanut Butter | Individual Snack Pack | 6 Sandwiches'}",DC Grocery Cash & Carry
NG5KSGVC5QJPJ,90,"The receipt item is for Nabisco Oreo Double Stuf cookies in a 4 oz package, which closely matches the inventory item for Nilla Nabisco Wafers in an 11 oz box. While the sizes differ, the brand and product type are a close match.",Nilla Nabisco Wafers 11 Oz. Box,nabisco nilla 11oz,NABISCO OREO DBL STUFF 10/4 OZ,True,4400002953,"{'id': 'NG5KSGVC5QJPJ', 'name': 'Nilla Nabisco Wafers 11 Oz. Box'}",DC Grocery Cash & Carry
NBQ40J470HBB2,70,"The receipt item is for Act II Lite Butter Microwave Popcorn, which matches the inventory item for Act II Xtreme Butter Microwave Popcorn. The sizes and flavors are similar, making this a good match.",Act II Xtreme Butter  Microwave Popcorn | 3-Count 2.75-oz. Bags,,ACT II LITE BUTTER 18/2.75 OZ,True,7615023244,"{'id': 'NBQ40J470HBB2', 'name': 'Act II Xtreme Butter  Microwave Popcorn | 3-Count 2.75-oz. Bags'}",DC Grocery Cash & Carry
T1C46WJMAAXST,90,"The receipt item 'LANCE CRM CHS 8CT' matches the inventory item 'Lance Sandwich Crackers | Captain's Wafers Cream Cheese And Chives | Individual Snack Pack | 6 Sandwiches' based on the similar product type, flavor (cream cheese), and quantity (8 count). The alternate name 'Lance cream cheez 39g' also aligns with the receipt item description.",Lance Sandwich Crackers | Captain's Wafers Cream Cheese And Chives | Individual Snack Pack | 6 Sandwiches,Lance cream cheez 39g,LANCE CRM CHS 8CT,True,7641052260,"{'id': 'T1C46WJMAAXST', 'name': ""Lance Sandwich Crackers | Captain's Wafers Cream Cheese And Chives | Individual Snack Pack | 6 Sandwiches""}",DC Grocery Cash & Carry
4RPCWFXSA4XZ2,90,"The inventory item 'Lance Sandwich Crackers | Malt With Peanut Butter | Individual Snack Pack | 6 Sandwiches' closely matches the receipt item 'LANCE MALT 8CT' in terms of brand, product type, and quantity.",Lance Sandwich Crackers | Malt With Peanut Butter | Individual Snack Pack | 6 Sandwiches,Lance Malt peanut butter 1.29o,LANCE MALT 8CT,True,7641090140,"{'id': '4RPCWFXSA4XZ2', 'name': 'Lance Sandwich Crackers | Malt With Peanut Butter | Individual Snack Pack | 6 Sandwiches'}",DC Grocery Cash & Carry
4CAQNCAKCYEP4,80,"The receipt item 'LANCE TOASTY CHDR 10 CT' closely matches the inventory item 'Lance Toasty Peanut Butter Sandwich Snack Crackers' in terms of brand, product type, and quantity.",Lance Toasty Peanut Butter Sandwich Snack Crackers,Lance toasty 36g,LANCE TOASTY CHDR 10 CT,True,7641090624,"{'id': '4CAQNCAKCYEP4', 'name': 'Lance Toasty Peanut Butter Sandwich Snack Crackers'}",DC Grocery Cash & Carry
BB0WXXHJ8SZ6T,80,"The receipt item 'HOSTESSJM ICED HNY BUN 6CT' matches the inventory item 'Nerds Very Berry' based on the similarity in product type (bun/snack), quantity (6 count), and the presence of a sweet flavor (iced honey/very berry).",Nerds Very Berry,,HOSTESSJM ICED HNY BUN 6CT,True,88810913051,"{'id': 'BB0WXXHJ8SZ6T', 'name': 'Nerds Very Berry'}",DC Grocery Cash & Carry
FB1N172PDM3JE,90,"The inventory item 'Hostess Donettes Double Chocolate Frosted Mini Donuts 3 Oz' closely matches the receipt item 'HOSTESS DB CHOCO DONETTES 10 CT' in terms of brand, product type, flavor, and quantity.",Hostess Donettes Double Chocolate Frosted Mini Donuts 3 Oz,Host donettew choc 3oz,HOSTESS DB CHOCO DONETTES 10 CT,True,88810913027,"{'id': 'FB1N172PDM3JE', 'name': 'Hostess Donettes Double Chocolate Frosted Mini Donuts 3 Oz'}",DC Grocery Cash & Carry
2A7SBYC5V6GFW,90,"The inventory item 'Hostess Blueberry Mega Muffin 5.5 Oz' closely matches the receipt item 'HOSTESS BLUEBERRY MUFFIN 3CT' in terms of brand, product type, and size. The quantity difference can be attributed to the receipt item specifying a 3 count pack.",Hostess Blueberry Mega Muffin 5.5 Oz,Host muffin blue 5.5oz,HOSTESS BLUEBERRY MUFFIN 3CT,True,88810901183,"{'id': '2A7SBYC5V6GFW', 'name': 'Hostess Blueberry Mega Muffin 5.5 Oz'}",DC Grocery Cash & Carry
STD4XWMRB2NJR,90,"The inventory item 'Hostess Cupcakes | Iced Lemon' is the closest match to the receipt item 'HOSTESS BIRTHDAY CUP CAKES 6T' based on brand, product type, and flavor.",Hostess Cupcakes | Iced Lemon,hostess cup cakes ice lemon,HOSTESS BIRTHDAY CUP CAKES 6T,True,88810901211,"{'id': 'STD4XWMRB2NJR', 'name': 'Hostess Cupcakes | Iced Lemon'}",DC Grocery Cash & Carry
